"Month/Year","GEOID","totalAllAMS_RES","totalAllRES_VAC","totalAllAVG_VAC_R","totalAllVAC_3_RES","totalAllVAC_3_6_R","totalAllVAC_6_12R","totalAllVAC_12_24R","totalAllVAC_24_36R","totalAllVAC_36_RES"
"3/2008","01",128035247.0,3775220.0,346.94354696110605,708760.0,570353.0,698123.0,735687.0,1062297.0,0.0
"6/2008","01",128819921.0,3854947.0,365.67181723115067,777682.0,458718.0,714182.0,775141.0,1129224.0,0.0
"9/2008","01",129465031.0,3945234.0,382.6642687051168,804158.0,544750.0,673747.0,763588.0,1158991.0,0.0
"12/2008","01",129926643.0,3966892.0,417.1152981255819,590593.0,601338.0,704162.0,870278.0,437935.0,762586.0
"3/2009","01",130265075.0,3999723.0,448.9137761466544,508184.0,457409.0,874683.0,884549.0,465565.0,809333.0
"6/2009","01",131015030.0,4034489.0,480.34885104626807,577222.0,442387.0,741436.0,903322.0,492023.0,878099.0
"9/2009","01",131336371.0,3924868.0,525.2427308200184,396398.0,480003.0,608845.0,1011205.0,502841.0,925576.0
"12/2009","01",131730177.0,3983815.0,557.5151978852363,380728.0,396783.0,651242.0,962164.0,605761.0,987137.0
"3/2010","01",132031032.0,4067204.0,557.0414340373113,437632.0,444528.0,598747.0,892589.0,623556.0,1070152.0
"6/2010","01",132419025.0,4881656.0,469.0610933986741,1002839.0,747560.0,567234.0,832225.0,623463.0,1108335.0
"9/2010","01",132738788.0,4848731.0,487.7804088531485,401966.0,1046400.0,858890.0,708657.0,675803.0,1157015.0
"12/2010","01",132983635.0,4784221.0,530.0100028467978,368541.0,505309.0,1347514.0,729219.0,596330.0,1237308.0
"3/2011","01",133185510.0,4733889.0,560.8255997939503,363373.0,430929.0,1143822.0,922481.0,556104.0,1317180.0
"6/2011","01",133475455.0,4762000.0,594.4621538086152,325376.0,473648.0,686049.0,1349173.0,543364.0,1384390.0
"9/2011","01",133721094.0,4589626.0,645.0834247021089,313098.0,344955.0,639901.0,1352816.0,459419.0,1479437.0
"12/2011","01",140104870.0,4554977.0,692.3356792332642,275527.0,364274.0,585986.0,1337214.0,480240.0,1511736.0
"3/2012","01",140474626.0,4559872.0,721.4316843575082,347735.0,340310.0,519506.0,1183271.0,616787.0,1552263.0
"6/2012","01",140472678.0,4615230.0,735.6715862106443,398751.0,389834.0,508139.0,813751.0,909323.0,1595432.0
"9/2012","01",140489819.0,4817912.0,737.035189990112,433435.0,505014.0,545680.0,758481.0,954274.0,1621028.0
"12/2012","01",140548496.0,4807607.0,769.8641736820123,300393.0,486094.0,681131.0,727364.0,949080.0,1663545.0
"3/2013","01",141081689.0,4781750.0,796.9476740276971,322462.0,372000.0,732497.0,715817.0,842356.0,1796618.0
"6/2013","01",141279773.0,4747312.0,841.0944636490715,250609.0,365389.0,652191.0,821857.0,571998.0,2085268.0
"9/2013","01",141506400.0,4781749.0,871.9758718668396,298698.0,301539.0,584587.0,915203.0,533622.0,2148100.0
"12/2013","01",141540621.0,4584546.0,918.5481329049705,221315.0,343131.0,480665.0,889068.0,499834.0,2150533.0
"3/2014","01",142047441.0,4540393.0,952.1094759174216,287632.0,260060.0,468193.0,850346.0,494309.0,2179853.0
"6/2014","01",142323650.0,4448462.0,986.726885328128,242562.0,321337.0,435570.0,732094.0,544924.0,2171975.0
"9/2014","01",142733603.0,4449547.0,1013.2463524340232,269354.0,286013.0,444305.0,674667.0,589700.0,2185508.0
"12/2014","01",142807176,4535984,1036.1460525709278,237413,337666,491795,638113,612169,2218828
"3/2015","01",142826991,4519565,1058.2708019846307,231232,326017,484009,637910,590855,2249542
"6/2015","01",144999654,4122080,1082.106853335499,223757,257340,440795,589106,463161,2147921
"9/2015","01",145671194,3879112,1118.6018345601763,231424,237715,384475,552065,397482,2075951
"12/2015","01",146027089,3767331,826.3552221183122,177651,1009928,277447,430240,282179,1589886
"3/2016","01",146068386,3778439,856.6950972657309,245517,245880,1014050,406892,282076,1584024
"6/2016","01",146063015,3775236,880.4499632627164,200073,317733,1001879,400433,284680,1570438
"9/2016","01",146104997,3798938,908.5740625212,231965,252448,432599,1017485,287345,1577096
